split_family,comparison_family,metric,tau,policy_a,policy_b,policy_b_same_tau,unit_cols,n_units,n_units_total,n_units_missing_metric,n_extrapolated_units,n_supported_units,extrapolated_fraction,mean_abs_raw_intervention_rate_gap,max_abs_raw_intervention_rate_gap,mean_nearest_curve_budget_gap,max_nearest_curve_budget_gap,mean_curve_metric_point_count,n_singleton_curve_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,55,130,75,75,55,0.5769230769230769,0.027655677655677655,0.07738095238095238,0.017261904761904763,0.07738095238095238,2.9307692307692306,27,-0.0028544810700349118,-0.0055464085079288995,-1.678987965774254e-06,0.05747126436781609,False,2,5,0.0125,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,26,130,104,104,26,0.8,0.062454212454212454,0.14285714285714285,0.04798534798534798,0.13690476190476192,2.9307692307692306,27,-0.010427985760249673,-0.014707455754162395,-0.005906735538131582,0.0004997501249375312,False,1,5,0.01,True,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,6,130,124,124,6,0.9538461538461539,0.10709706959706959,0.23809523809523808,0.0978937728937729,0.23809523809523808,2.9307692307692306,27,-0.009659491592798294,-0.01557485088196651,-0.0020395910077325072,0.08945527236381809,False,3,5,0.016666666666666666,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.15,agency_margin_tau_0.15,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session|day,3,130,127,127,3,0.9769230769230769,0.13516483516483516,0.3035714285714286,0.1315934065934066,0.3035714285714286,2.9307692307692306,27,-0.012164071235871635,-0.01589980959611359,-0.009080148092402873,0.2413793103448276,False,4,5,0.025,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.20,agency_margin_tau_0.20,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session|day,1,130,129,129,1,0.9923076923076923,0.15476190476190477,0.3511904761904762,0.15453296703296704,0.3511904761904762,2.9307692307692306,27,-0.014101308975879134,-0.014101308975879134,-0.014101308975879134,1.0,False,5,5,0.05,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,55,130,75,75,55,0.5769230769230769,0.027655677655677655,0.07738095238095238,0.017261904761904763,0.07738095238095238,2.9307692307692306,27,-0.012046480853643508,-0.015425603265880081,-0.009068080171082384,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,26,130,104,104,26,0.8,0.062454212454212454,0.14285714285714285,0.04798534798534798,0.13690476190476192,2.9307692307692306,27,-0.003523433130714048,-0.006971836044910817,-0.0001907093112583606,0.06146926536731634,True,2,5,0.0125,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,6,130,124,124,6,0.9538461538461539,0.10709706959706959,0.23809523809523808,0.0978937728937729,0.23809523809523808,2.9307692307692306,27,-0.0006108234599271565,-0.003866224772631172,0.001956321340493872,0.7871064467766117,True,3,5,0.016666666666666666,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.15,agency_margin_tau_0.15,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session|day,3,130,127,127,3,0.9769230769230769,0.13516483516483516,0.3035714285714286,0.1315934065934066,0.3035714285714286,2.9307692307692306,27,0.0025265934236343795,-0.0007307799376004703,0.008508792953634083,1.0,False,4,5,0.025,False,False
cemhsey_forward_day_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.20,agency_margin_tau_0.20,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session|day,1,130,129,129,1,0.9923076923076923,0.15476190476190477,0.3511904761904762,0.15453296703296704,0.3511904761904762,2.9307692307692306,27,0.008250926211861152,0.008250926211861152,0.008250926211861152,1.0,False,5,5,0.05,False,False
