split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
cemhsey_forward_day_logo,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.0009045246096294052,0.00024531593311505676,0.0015761666749028824,0.0074962518740629685,True,4,5,0.025,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.0016795653344684955,0.0008074645369934753,0.00260194083380619,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.0018863082030562838,0.001086212485893015,0.002724853446392105,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0012389079149754034,0.0006422159142384484,0.0018648546769478428,0.0004997501249375312,True,2,5,0.0125,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.0004469272085043565,-1.3442889303636685e-05,0.0009354932620390964,0.08245877061469266,True,5,5,0.05,False,False
cemhsey_forward_day_logo,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.000248304588774545,-0.00042506625998681266,-7.238727138515642e-05,0.008995502248875561,True,4,5,0.025,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.0002658072545153705,-0.0004261473899665748,-9.641066822170348e-05,0.0029985007496251873,True,3,5,0.016666666666666666,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.0001952085524779872,-0.0002917004519620998,-0.00010021863887959096,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,-0.00010092732810562324,-0.0001649031704798602,-4.361685507970659e-05,0.0009995002498750624,True,2,5,0.0125,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,-3.1163835082220516e-05,-9.603817380565055e-05,4.678477115000456e-05,0.4382808595702149,True,5,5,0.05,False,False
cemhsey_forward_day_logo,agency_vs_set_acsa,ece,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.005310660578836171,-0.018086795981182693,0.008028039358120876,0.4237881059470265,True,5,5,0.05,False,False
cemhsey_forward_day_logo,agency_vs_set_acsa,ece,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.01770577411842715,-0.029607077268809935,-0.005097555925862976,0.005997001499250375,True,4,5,0.025,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,ece,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.02970971963988946,-0.04023043627904254,-0.018474996807675396,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,ece,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,-0.03303813796092399,-0.04096074971629026,-0.02453792291496869,0.0004997501249375312,True,2,5,0.0125,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,ece,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,-0.028020603135868516,-0.03446904683553601,-0.021165472157870978,0.0004997501249375312,True,3,5,0.016666666666666666,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,mean_ali,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,4.641168374463726e-05,3.644321916050492e-05,5.640689824103283e-05,0.0004997501249375312,False,1,5,0.01,True,False
cemhsey_forward_day_logo,agency_vs_set_acsa,mean_ali,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.00016819930855858928,0.00013466337505126818,0.0002054623956980582,0.0004997501249375312,False,2,5,0.0125,True,False
cemhsey_forward_day_logo,agency_vs_set_acsa,mean_ali,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.0002930297145696815,0.00022915862777517478,0.00036021734544740714,0.0004997501249375312,False,3,5,0.016666666666666666,True,False
cemhsey_forward_day_logo,agency_vs_set_acsa,mean_ali,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0002598742552302312,0.00018749703531799125,0.000336851408703818,0.0004997501249375312,False,4,5,0.025,True,False
