split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
cemhsey_forward_day_logo,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.005128205128205128,0.0034798534798534796,0.00695970695970696,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.00695970695970696,0.004757326007326016,0.009523809523809525,0.0004997501249375312,True,2,5,0.0125,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.006959706959706959,0.00457875457875458,0.009523809523809525,0.0004997501249375312,True,3,5,0.016666666666666666,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.004212454212454211,0.002564102564102563,0.006048534798534774,0.0004997501249375312,True,4,5,0.025,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.001648351648351649,0.000366300366300368,0.003113553113553113,0.015992003998001,True,5,5,0.05,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.004578754578754578,0.0029304029304029304,0.00641025641025641,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.0071428571428571435,0.0047619047619047615,0.00989010989010989,0.0004997501249375312,True,2,5,0.0125,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.007509157509157509,0.005311355311355312,0.009890109890109891,0.0004997501249375312,True,3,5,0.016666666666666666,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.004578754578754578,0.0029304029304029282,0.006593406593406592,0.0004997501249375312,True,4,5,0.025,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.002014652014652015,0.000915750915750916,0.003296703296703297,0.001999000499750125,True,5,5,0.05,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.003296703296703298,0.0014652014652014663,0.00531135531135531,0.0004997501249375312,True,1,5,0.01,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.005860805860805861,0.0032967032967032963,0.008791208791208788,0.0004997501249375312,True,2,5,0.0125,True,True
cemhsey_forward_day_logo,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.006227106227106226,0.0038461538461538446,0.008791208791208791,0.0004997501249375312,True,3,5,0.016666666666666666,True,True
