dataset_id,split_family,comparison_family,tau,policy_a,policy_b_same_tau,policy_b,split_id,subject_id,session,day,selected_threshold,target_intervention_rate,selected_intervention_rate,intervention_rate_gap,exact_budget_match,candidate_threshold_count,trace_count,disagreement_trace_count,max_attainable_intervention_rate
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S1,grasp_protocol,D02,0.6695372942413751,0.017857142857142856,0.017857142857142856,0.0,True,203,168,68,0.40476190476190477
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S10,grasp_protocol,D02,0.42488203538158303,0.041666666666666664,0.03571428571428571,0.005952380952380952,False,203,168,82,0.4880952380952381
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S11,grasp_protocol,D02,0.46116754168192914,0.023809523809523808,0.023809523809523808,0.0,True,203,168,83,0.49404761904761907
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S12,grasp_protocol,D02,0.46116754168192914,0.03571428571428571,0.03571428571428571,0.0,True,203,168,70,0.4166666666666667
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S13,grasp_protocol,D02,1.01,0.0,0.0,0.0,True,203,168,79,0.47023809523809523
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S2,grasp_protocol,D02,0.46793820404710723,0.03571428571428571,0.03571428571428571,0.0,True,203,168,72,0.42857142857142855
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S3,grasp_protocol,D02,0.6174016506543829,0.017857142857142856,0.017857142857142856,0.0,True,203,168,74,0.44047619047619047
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S4,grasp_protocol,D02,0.4946841495015164,0.02976190476190476,0.02976190476190476,0.0,True,203,168,96,0.5714285714285714
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S5,grasp_protocol,D02,0.5362371529698229,0.041666666666666664,0.041666666666666664,0.0,True,203,168,78,0.4642857142857143
cemhsey,cemhsey_forward_day_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,cemhsey_forward_day_logo|D02,S6,grasp_protocol,D02,0.5111200423684149,0.06547619047619048,0.06547619047619048,0.0,True,203,168,88,0.5238095238095238
