split_family,comparison_family,metric,tau,policy_a,policy_b,policy_b_same_tau,unit_cols,n_units,n_units_total,n_units_missing_metric,n_extrapolated_units,n_supported_units,extrapolated_fraction,mean_abs_raw_intervention_rate_gap,max_abs_raw_intervention_rate_gap,mean_nearest_curve_budget_gap,max_nearest_curve_budget_gap,mean_curve_metric_point_count,n_singleton_curve_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_macro_f1,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,3,15,12,12,3,0.8,0.058126984126984124,0.12595238095238095,0.058126984126984124,0.12595238095238095,5.0,0,-0.22681396153632272,-0.26950512584610925,-0.17501385051752041,0.2413793103448276,False,4,5,0.025,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_macro_f1,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,14,15,1,1,14,0.06666666666666667,0.08631746031746033,0.19714285714285712,0.043936507936507926,0.09261904761904766,5.0,0,-0.1921828146837566,-0.23916565579463975,-0.14157664778695947,0.0004997501249375312,False,1,5,0.01,True,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_macro_f1,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,12,15,3,3,12,0.2,0.08942857142857141,0.22285714285714286,0.030603174603174608,0.06952380952380954,5.0,0,-0.14237907690377008,-0.18482982219243232,-0.0942245201958874,0.0004997501249375312,False,2,5,0.0125,True,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_macro_f1,0.15,agency_margin_tau_0.15,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,6,15,9,9,6,0.6,0.08660317460317458,0.36214285714285716,0.030126984126984124,0.1138095238095238,5.0,0,-0.09315470897701052,-0.15213213880870002,-0.03659894607680244,0.06146926536731634,False,3,5,0.016666666666666666,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_macro_f1,0.20,agency_margin_tau_0.20,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,4,15,11,11,4,0.7333333333333333,0.09169841269841268,0.42,0.05480952380952382,0.1511904761904762,5.0,0,-0.07540706719727566,-0.15178555937737714,0.0009714249828258192,0.3748125937031484,False,5,5,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,3,15,12,12,3,0.8,0.058126984126984124,0.12595238095238095,0.058126984126984124,0.12595238095238095,5.0,0,0.2794670202554008,0.2258129999244504,0.3253159923719295,0.2413793103448276,False,5,5,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,14,15,1,1,14,0.06666666666666667,0.08631746031746033,0.19714285714285712,0.043936507936507926,0.09261904761904766,5.0,0,0.16571980029037006,0.12288335752321468,0.20513738691339586,0.0004997501249375312,False,1,5,0.01,True,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,12,15,3,3,12,0.2,0.08942857142857141,0.22285714285714286,0.030603174603174608,0.06952380952380954,5.0,0,0.08844568232509459,0.0606826273946227,0.11489245218340238,0.0004997501249375312,False,2,5,0.0125,True,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.15,agency_margin_tau_0.15,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,6,15,9,9,6,0.6,0.08660317460317458,0.36214285714285716,0.030126984126984124,0.1138095238095238,5.0,0,0.05927789749427762,0.030673169298981954,0.09171626303515078,0.0384807596201899,False,3,5,0.016666666666666666,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.20,agency_margin_tau_0.20,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,4,15,11,11,4,0.7333333333333333,0.09169841269841268,0.42,0.05480952380952382,0.1511904761904762,5.0,0,0.05021926565292633,0.015523061441599963,0.08507817582928104,0.1344327836081959,False,4,5,0.025,False,False
