split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_able_to_amputee,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.0076055379575517565,0.005231723025781035,0.01002436691115492,0.0009995002498750624,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.010962866778258916,0.0081318109472928,0.013917942037915467,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.00882770874693291,0.006648037261932915,0.011201977044665983,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.004302786317741927,0.003013189342890824,0.005579296279983923,0.0009995002498750624,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_macro_f1,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.001971150485696264,0.0012008339545399014,0.003084222980014973,0.0009995002498750624,True,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,-0.006889365316476437,-0.009564179668545137,-0.0041256735101181455,0.0014992503748125937,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,-0.004066359041226693,-0.005860367703341018,-0.0025094204509690417,0.0009995002498750624,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,-0.0016135263526757353,-0.0023083100540125722,-0.0010056536396844296,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,-0.0004374297744608781,-0.0006587950074859407,-0.00024324869639620746,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_set_acsa,active_risk_coverage_auc,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,-0.00010647423376242508,-0.00022396447589598505,-1.533216822585106e-05,0.04997501249375312,True,5,5,0.05,True,True
