dataset_id,split_family,split_id,policy,subject_id,session,day,n_episodes,safe_episode_rate,stable_safe_episode_rate,final_correct_rate,median_earliest_intervene_s,median_earliest_correct_s,median_earliest_safe_s,median_earliest_stable_safe_s
db10,db10_able_to_amputee,db10_able_to_amputee|S101,agency_margin_tau_0.02,S101,ex1,,840,0.4988095238095238,0.31666666666666665,0.46904761904761905,0.4,0.2,0.4,0.6
db10,db10_able_to_amputee,db10_able_to_amputee|S101,agency_margin_tau_0.05,S101,ex1,,840,0.6392857142857142,0.44642857142857145,0.5333333333333333,0.2,0.2,0.4,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,agency_margin_tau_0.10,S101,ex1,,840,0.7535714285714286,0.5571428571428572,0.611904761904762,0.2,0.2,0.2,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,agency_margin_tau_0.15,S101,ex1,,840,0.7928571428571428,0.6297619047619047,0.6726190476190477,0.2,0.2,0.2,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,agency_margin_tau_0.20,S101,ex1,,840,0.8107142857142857,0.6880952380952381,0.7285714285714285,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,assist_only,S101,ex1,,840,0.8083333333333333,0.7452380952380953,0.7785714285714286,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,confidence_blend_alpha_0.25,S101,ex1,,840,0.8130952380952381,0.7297619047619047,0.7726190476190476,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,confidence_blend_alpha_0.50,S101,ex1,,840,0.8154761904761905,0.7488095238095238,0.7880952380952381,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,confidence_blend_alpha_0.75,S101,ex1,,840,0.8166666666666667,0.7488095238095238,0.7833333333333333,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,plain_conf_threshold_matched_tau_0.02,S101,ex1,,840,0.2357142857142857,0.20714285714285716,0.5869047619047619,0.2,0.2,0.4,0.6
db10,db10_able_to_amputee,db10_able_to_amputee|S101,plain_conf_threshold_matched_tau_0.05,S101,ex1,,840,0.44285714285714284,0.40476190476190477,0.6952380952380952,0.2,0.2,0.4,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,plain_conf_threshold_matched_tau_0.10,S101,ex1,,840,0.6476190476190476,0.5976190476190476,0.7476190476190476,0.2,0.2,0.2,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,plain_conf_threshold_matched_tau_0.15,S101,ex1,,840,0.7333333333333333,0.6785714285714286,0.763095238095238,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,plain_conf_threshold_matched_tau_0.20,S101,ex1,,840,0.7642857142857142,0.7095238095238096,0.7690476190476191,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,selective_prediction,S101,ex1,,840,0.7023809523809523,0.4773809523809524,0.6416666666666667,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,set_acsa_tau_0.02,S101,ex1,,840,0.42142857142857143,0.2761904761904762,0.4523809523809524,0.4,0.2,0.4,0.6
db10,db10_able_to_amputee,db10_able_to_amputee|S101,set_acsa_tau_0.05,S101,ex1,,840,0.5976190476190476,0.42857142857142855,0.5226190476190476,0.2,0.2,0.4,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,set_acsa_tau_0.10,S101,ex1,,840,0.736904761904762,0.5488095238095239,0.6059523809523809,0.2,0.2,0.2,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,set_acsa_tau_0.15,S101,ex1,,840,0.7833333333333333,0.6214285714285714,0.6666666666666666,0.2,0.2,0.2,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S101,set_acsa_tau_0.20,S101,ex1,,840,0.8023809523809524,0.6833333333333333,0.7238095238095238,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S101,user_only,S101,ex1,,840,0.0,0.0,0.30714285714285716,,0.4,,
db10,db10_able_to_amputee,db10_able_to_amputee|S102,agency_margin_tau_0.02,S102,ex1,,840,0.4869047619047619,0.275,0.4011904761904762,0.4,0.2,0.4,0.8
db10,db10_able_to_amputee,db10_able_to_amputee|S102,agency_margin_tau_0.05,S102,ex1,,840,0.675,0.4035714285714286,0.4583333333333333,0.2,0.2,0.4,0.6
db10,db10_able_to_amputee,db10_able_to_amputee|S102,agency_margin_tau_0.10,S102,ex1,,840,0.7130952380952381,0.5035714285714286,0.5333333333333333,0.2,0.2,0.2,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S102,agency_margin_tau_0.15,S102,ex1,,840,0.7273809523809524,0.5630952380952381,0.5880952380952381,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,agency_margin_tau_0.20,S102,ex1,,840,0.7333333333333333,0.6023809523809524,0.625,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,assist_only,S102,ex1,,840,0.7380952380952381,0.6345238095238095,0.655952380952381,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,confidence_blend_alpha_0.25,S102,ex1,,840,0.7452380952380953,0.6107142857142858,0.638095238095238,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,confidence_blend_alpha_0.50,S102,ex1,,840,0.7428571428571429,0.6333333333333333,0.6571428571428571,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,confidence_blend_alpha_0.75,S102,ex1,,840,0.7392857142857143,0.6345238095238095,0.655952380952381,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,plain_conf_threshold_matched_tau_0.02,S102,ex1,,840,0.15833333333333333,0.1357142857142857,0.3964285714285714,0.2,0.2,0.6,0.6
db10,db10_able_to_amputee,db10_able_to_amputee|S102,plain_conf_threshold_matched_tau_0.05,S102,ex1,,840,0.39285714285714285,0.30714285714285716,0.4928571428571429,0.2,0.2,0.4,0.4
db10,db10_able_to_amputee,db10_able_to_amputee|S102,plain_conf_threshold_matched_tau_0.10,S102,ex1,,840,0.5785714285714286,0.48214285714285715,0.5785714285714286,0.2,0.2,0.2,0.2
db10,db10_able_to_amputee,db10_able_to_amputee|S102,plain_conf_threshold_matched_tau_0.15,S102,ex1,,840,0.6476190476190476,0.5416666666666666,0.5976190476190476,0.2,0.2,0.2,0.2
