split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,tau,policy_b_same_tau,n_audit_units,mean_abs_intervention_rate_gap,max_abs_intervention_rate_gap,exact_match_fraction,n_exact_match_units,mean_selected_threshold,min_selected_threshold,max_selected_threshold,mean_candidate_threshold_count,mean_max_attainable_intervention_rate,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,safe_episode_rate,agency_margin_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,split_id|subject_id|session,15,0.23499999999999996,0.18728373015873015,0.27739087301587295,0.0009995002498750624,True,0.02,plain_conf_threshold_matched_tau_0.02,15,0.001968253968253969,0.004761904761904773,0.06666666666666667,1,0.8814867605095931,0.8003881001562838,1.01,203.0,0.8055396825396826,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,safe_episode_rate,agency_margin_tau_0.05,plain_conf_threshold_exact_budget_tau_0.05,split_id|subject_id|session,15,0.21531746031746032,0.16904365079365077,0.25397023809523805,0.0009995002498750624,True,0.05,plain_conf_threshold_matched_tau_0.05,15,0.0010793650793650762,0.0035714285714285587,0.13333333333333333,2,0.7533072289884378,0.6034504575823606,1.01,203.0,0.8055396825396826,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,safe_episode_rate,agency_margin_tau_0.10,plain_conf_threshold_exact_budget_tau_0.10,split_id|subject_id|session,15,0.1237301587301587,0.09111111111111111,0.15682936507936504,0.0009995002498750624,True,0.10,plain_conf_threshold_matched_tau_0.10,15,0.0009841269841269799,0.0023809523809523725,0.13333333333333333,2,0.6142436749371977,0.4578679825574819,1.01,203.0,0.8055396825396826,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,safe_episode_rate,agency_margin_tau_0.15,plain_conf_threshold_exact_budget_tau_0.15,split_id|subject_id|session,15,0.07190476190476189,0.048571428571428564,0.09563492063492061,0.0009995002498750624,True,0.15,plain_conf_threshold_matched_tau_0.15,15,0.0010158730158730108,0.002619047619047632,0.13333333333333333,2,0.5304671160585925,0.364768580928888,1.01,203.0,0.8055396825396826,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,safe_episode_rate,agency_margin_tau_0.20,plain_conf_threshold_exact_budget_tau_0.20,split_id|subject_id|session,15,0.04031746031746033,0.02436507936507938,0.057307539682539654,0.0004997501249375312,True,0.20,plain_conf_threshold_matched_tau_0.20,15,0.0011587301587301666,0.002142857142857224,0.06666666666666667,1,0.46807440020625735,0.29019894003064317,0.9216422696831044,203.0,0.8055396825396826,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,stable_safe_episode_rate,agency_margin_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,split_id|subject_id|session,15,0.1123015873015873,0.08737896825396825,0.1377083333333333,0.0009995002498750624,True,0.02,plain_conf_threshold_matched_tau_0.02,15,0.001968253968253969,0.004761904761904773,0.06666666666666667,1,0.8814867605095931,0.8003881001562838,1.01,203.0,0.8055396825396826,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,stable_safe_episode_rate,agency_margin_tau_0.05,plain_conf_threshold_exact_budget_tau_0.05,split_id|subject_id|session,15,0.061111111111111116,0.04364880952380952,0.07920634920634922,0.0009995002498750624,True,0.05,plain_conf_threshold_matched_tau_0.05,15,0.0010793650793650762,0.0035714285714285587,0.13333333333333333,2,0.7533072289884378,0.6034504575823606,1.01,203.0,0.8055396825396826,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,stable_safe_episode_rate,agency_margin_tau_0.10,plain_conf_threshold_exact_budget_tau_0.10,split_id|subject_id|session,15,0.001269841269841271,-0.01738690476190476,0.020873015873015877,0.9060469765117442,True,0.10,plain_conf_threshold_matched_tau_0.10,15,0.0009841269841269799,0.0023809523809523725,0.13333333333333333,2,0.6142436749371977,0.4578679825574819,1.01,203.0,0.8055396825396826,5,5,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,stable_safe_episode_rate,agency_margin_tau_0.15,plain_conf_threshold_exact_budget_tau_0.15,split_id|subject_id|session,15,-0.022619047619047625,-0.0352420634920635,-0.01015873015873017,0.0079960019990005,False,0.15,plain_conf_threshold_matched_tau_0.15,15,0.0010158730158730108,0.002619047619047632,0.13333333333333333,2,0.5304671160585925,0.364768580928888,1.01,203.0,0.8055396825396826,4,5,0.025,True,False
db10_able_to_amputee,agency_vs_plain_conf_exact_budget,stable_safe_episode_rate,agency_margin_tau_0.20,plain_conf_threshold_exact_budget_tau_0.20,split_id|subject_id|session,15,-0.021984126984126988,-0.03071626984126985,-0.01364880952380953,0.0014992503748125937,False,0.20,plain_conf_threshold_matched_tau_0.20,15,0.0011587301587301666,0.002142857142857224,0.06666666666666667,1,0.46807440020625735,0.29019894003064317,0.9216422696831044,203.0,0.8055396825396826,3,5,0.016666666666666666,True,False
