split_family,comparison_family,metric,tau,policy_a,policy_b,policy_b_same_tau,unit_cols,n_units,n_units_total,n_units_missing_metric,n_extrapolated_units,n_supported_units,extrapolated_fraction,mean_abs_raw_intervention_rate_gap,max_abs_raw_intervention_rate_gap,mean_nearest_curve_budget_gap,max_nearest_curve_budget_gap,mean_curve_metric_point_count,n_singleton_curve_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,final_correct_rate,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,3,15,12,12,3,0.8,0.058126984126984124,0.12595238095238095,0.058126984126984124,0.12595238095238095,5.0,0,-0.03131051089790691,-0.05018963337547411,-0.009299258625605933,0.2413793103448276,False,5,5,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,final_correct_rate,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,14,15,1,1,14,0.06666666666666667,0.08631746031746033,0.19714285714285712,0.043936507936507926,0.09261904761904766,5.0,0,-0.09325534866460207,-0.12307032335208237,-0.06397904098521005,0.0004997501249375312,False,1,5,0.01,True,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,final_correct_rate,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,12,15,3,3,12,0.2,0.08942857142857141,0.22285714285714286,0.030603174603174608,0.06952380952380954,5.0,0,-0.10190824362751577,-0.13449880019221325,-0.06823834156493262,0.0004997501249375312,False,2,5,0.0125,True,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,final_correct_rate,0.15,agency_margin_tau_0.15,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,6,15,9,9,6,0.6,0.08660317460317458,0.36214285714285716,0.030126984126984124,0.1138095238095238,5.0,0,-0.09316916879625582,-0.13382725316201946,-0.05819304391415767,0.0384807596201899,False,3,5,0.016666666666666666,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,final_correct_rate,0.20,agency_margin_tau_0.20,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,4,15,11,11,4,0.7333333333333333,0.09169841269841268,0.42,0.05480952380952382,0.1511904761904762,5.0,0,-0.08499212972736736,-0.1347881506090809,-0.0502112199394808,0.1344327836081959,False,4,5,0.025,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,3,15,12,12,3,0.8,0.058126984126984124,0.12595238095238095,0.08582539682539682,0.4207142857142857,4.733333333333333,1,-0.08086022466553437,-0.12389380530973448,0.0,0.5012493753123438,True,3,5,0.016666666666666666,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,14,15,1,1,14,0.06666666666666667,0.08631746031746033,0.19714285714285712,0.07163492063492065,0.4207142857142857,4.733333333333333,1,-0.02548967253776389,-0.0970923746204099,0.04018467225516639,0.5062468765617192,True,4,5,0.025,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,12,15,3,3,12,0.2,0.08942857142857141,0.22285714285714286,0.058301587301587306,0.4207142857142857,4.733333333333333,1,-0.04726285026551872,-0.08956274547000916,-0.007486612954793712,0.05997001499250375,True,1,5,0.01,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.15,agency_margin_tau_0.15,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,6,15,9,9,6,0.6,0.08660317460317458,0.36214285714285716,0.057825396825396815,0.4207142857142857,4.733333333333333,1,-0.04462829421593285,-0.11596250821857483,0.0,0.49325337331334335,True,2,5,0.0125,False,False
db10_able_to_amputee,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.20,agency_margin_tau_0.20,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,4,15,11,11,4,0.7333333333333333,0.09169841269841268,0.42,0.08250793650793652,0.42,4.733333333333333,1,-0.0315384615384615,-0.0946153846153845,0.0,1.0,True,5,5,0.05,False,False
