split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_able_to_amputee,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.08611111111111111,0.05896626984126984,0.11405158730158728,0.0009995002498750624,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.06539682539682541,0.0476170634920635,0.08222619047619048,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.02492063492063491,0.01785714285714285,0.03285714285714285,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.00999999999999999,0.006428571428571428,0.013968253968253963,0.0009995002498750624,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.004365079365079364,0.0021428571428571425,0.0069841269841269815,0.0009995002498750624,True,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.05222222222222222,0.033410714285714294,0.07309722222222222,0.0009995002498750624,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.034365079365079376,0.024365079365079374,0.044686507936507906,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.012063492063492061,0.007777777777777784,0.01698412698412697,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.004444444444444432,0.0026984126984126926,0.006190476190476179,0.0009995002498750624,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.0016666666666666644,0.0007936507936507945,0.00261904761904761,0.005497251374312844,True,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.024126984126984122,0.014523809523809524,0.03357142857142856,0.0009995002498750624,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.020317460317460314,0.01325396825396826,0.028650793650793642,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.008253968253968251,0.005555555555555558,0.011111111111111101,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.00357142857142857,0.002301587301587297,0.004920634920634922,0.0009995002498750624,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.0012698412698412653,0.0004761904761904745,0.0020634920634920563,0.01649175412293853,True,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_set_acsa,median_earliest_safe_s,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,1,1,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,0.22444444444444445,0.17340277777777777,0.27325595238095235,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,0.2,0.15809523809523812,0.2398452380952381,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_able_to_amputee,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,0.11944444444444442,0.09483928571428568,0.14024206349206342,0.0009995002498750624,True,4,5,0.025,True,True
db10_able_to_amputee,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.15,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,15,0.07476190476190477,0.0591230158730159,0.08888888888888886,0.0009995002498750624,True,5,5,0.05,True,True
db10_able_to_amputee,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.20,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,15,0.057222222222222244,0.04523809523809525,0.06889087301587303,0.0004997501249375312,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,0.10317460317460318,0.0737281746031746,0.13492261904761904,0.0009995002498750624,True,1,5,0.01,True,True
db10_able_to_amputee,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,0.04761904761904761,0.028569444444444446,0.06769841269841269,0.0009995002498750624,True,2,5,0.0125,True,True
db10_able_to_amputee,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,-0.005158730158730157,-0.01992261904761904,0.010240079365079357,0.5242378810594702,False,5,5,0.05,False,False
db10_able_to_amputee,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.15,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,15,-0.02063492063492064,-0.03841468253968253,-0.0035674603174603485,0.044977511244377814,False,3,5,0.016666666666666666,False,False
db10_able_to_amputee,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.20,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,15,-0.006904761904761917,-0.024448412698412712,0.009128968253968237,0.44227886056971516,False,4,5,0.025,False,False
db10_able_to_amputee,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,-0.060714285714285714,-0.0877063492063492,-0.0338075396825397,0.0014992503748125937,False,4,5,0.025,True,False
db10_able_to_amputee,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,-0.11238095238095237,-0.1461944444444444,-0.0784107142857143,0.0004997501249375312,False,1,5,0.01,True,False
db10_able_to_amputee,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,-0.11309523809523811,-0.1421468253968254,-0.08309126984126987,0.0004997501249375312,False,2,5,0.0125,True,False
db10_able_to_amputee,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.15,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,15,-0.0903968253968254,-0.11896825396825396,-0.06300595238095241,0.0004997501249375312,False,3,5,0.016666666666666666,True,False
db10_able_to_amputee,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.20,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,15,-0.06087301587301588,-0.09063888888888891,-0.034121031746031774,0.0014992503748125937,False,5,5,0.05,True,False
