split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,tau,policy_b_same_tau,n_audit_units,mean_abs_intervention_rate_gap,max_abs_intervention_rate_gap,exact_match_fraction,n_exact_match_units,mean_selected_threshold,min_selected_threshold,max_selected_threshold,mean_candidate_threshold_count,mean_max_attainable_intervention_rate,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_macro_f1,agency_margin_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,split_id|subject_id|session|day,40,-0.0013361634111250422,-0.0031396648532602722,0.0004315605366812428,0.15442278860569716,False,0.02,plain_conf_threshold_matched_tau_0.02,40,0.0006448018945772111,0.0029411764705882353,0.475,19,0.6495102212209425,0.4699626639761713,0.8273620758915573,203.0,0.673039980226819,3,5,0.016666666666666666,False,False
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_macro_f1,agency_margin_tau_0.05,plain_conf_threshold_exact_budget_tau_0.05,split_id|subject_id|session|day,40,-0.0008851989920770298,-0.0039931054266419625,0.002078273446670397,0.5737131434282858,False,0.05,plain_conf_threshold_matched_tau_0.05,40,0.0008202245356963465,0.0029702970297029695,0.4,16,0.5404147971035325,0.3967382351636186,0.7286999294712729,203.0,0.673039980226819,4,5,0.025,False,False
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_macro_f1,agency_margin_tau_0.10,plain_conf_threshold_exact_budget_tau_0.10,split_id|subject_id|session|day,40,0.0013043164528742008,-0.003436490218178838,0.00602774516221696,0.607696151924038,True,0.10,plain_conf_threshold_matched_tau_0.10,40,0.0008697340174679127,0.0029411764705882387,0.4,16,0.44137640207030593,0.33298217131513286,0.5734457667560073,203.0,0.673039980226819,5,5,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_macro_f1,agency_margin_tau_0.15,plain_conf_threshold_exact_budget_tau_0.15,split_id|subject_id|session|day,40,0.005469114696928765,-0.0006908144992140461,0.011209744618774189,0.09195402298850575,True,0.15,plain_conf_threshold_matched_tau_0.15,40,0.0009686157012131566,0.0029850746268656678,0.3,12,0.386325381024288,0.29024264707931674,0.4636257086258861,203.0,0.673039980226819,2,5,0.0125,False,False
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_macro_f1,agency_margin_tau_0.20,plain_conf_threshold_exact_budget_tau_0.20,split_id|subject_id|session|day,40,0.00870336353133359,0.0017458721328980405,0.014940143132893588,0.014992503748125937,True,0.20,plain_conf_threshold_matched_tau_0.20,40,0.000964857366164355,0.003960396039603964,0.35,14,0.3554335374475636,0.274753538503586,0.44064464738253956,203.0,0.673039980226819,1,5,0.01,False,False
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_risk_coverage_auc,agency_margin_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,split_id|subject_id|session|day,40,-0.003963809390768395,-0.007008552721894023,-0.0007213810561391252,0.022488755622188907,True,0.02,plain_conf_threshold_matched_tau_0.02,40,0.0006448018945772111,0.0029411764705882353,0.475,19,0.6495102212209425,0.4699626639761713,0.8273620758915573,203.0,0.673039980226819,4,5,0.025,True,True
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_risk_coverage_auc,agency_margin_tau_0.05,plain_conf_threshold_exact_budget_tau_0.05,split_id|subject_id|session|day,40,-0.005881604084554943,-0.011468824504052047,8.040054140030902e-07,0.059470264867566215,True,0.05,plain_conf_threshold_matched_tau_0.05,40,0.0008202245356963465,0.0029702970297029695,0.4,16,0.5404147971035325,0.3967382351636186,0.7286999294712729,203.0,0.673039980226819,5,5,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_risk_coverage_auc,agency_margin_tau_0.10,plain_conf_threshold_exact_budget_tau_0.10,split_id|subject_id|session|day,40,-0.012421217586087305,-0.020591606965539473,-0.004102201600393411,0.006496751624187906,True,0.10,plain_conf_threshold_matched_tau_0.10,40,0.0008697340174679127,0.0029411764705882387,0.4,16,0.44137640207030593,0.33298217131513286,0.5734457667560073,203.0,0.673039980226819,3,5,0.016666666666666666,True,True
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_risk_coverage_auc,agency_margin_tau_0.15,plain_conf_threshold_exact_budget_tau_0.15,split_id|subject_id|session|day,40,-0.021423129323745994,-0.031233346771328798,-0.010982105762010306,0.0009995002498750624,True,0.15,plain_conf_threshold_matched_tau_0.15,40,0.0009686157012131566,0.0029850746268656678,0.3,12,0.386325381024288,0.29024264707931674,0.4636257086258861,203.0,0.673039980226819,2,5,0.0125,True,True
hyser_subject_logo,agency_vs_plain_conf_exact_budget,active_risk_coverage_auc,agency_margin_tau_0.20,plain_conf_threshold_exact_budget_tau_0.20,split_id|subject_id|session|day,40,-0.02764647956604758,-0.03780419475594926,-0.016314041601929386,0.0004997501249375312,True,0.20,plain_conf_threshold_matched_tau_0.20,40,0.000964857366164355,0.003960396039603964,0.35,14,0.3554335374475636,0.274753538503586,0.44064464738253956,203.0,0.673039980226819,1,5,0.01,True,True
