split_family,comparison_family,metric,tau,policy_a,policy_b,policy_b_same_tau,unit_cols,n_units,n_units_total,n_units_missing_metric,n_extrapolated_units,n_supported_units,extrapolated_fraction,mean_abs_raw_intervention_rate_gap,max_abs_raw_intervention_rate_gap,mean_nearest_curve_budget_gap,max_nearest_curve_budget_gap,mean_curve_metric_point_count,n_singleton_curve_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
hyser_subject_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,39,40,1,1,39,0.025,0.009021336390157318,0.02189054726368159,0.002994622159366854,0.011764705882352941,4.9,0,-0.001018415608675967,-0.0028065068988257064,0.0006997693796490736,0.2908545727136432,False,1,3,0.016666666666666666,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,34,40,6,6,34,0.15,0.020640905346699788,0.048039215686274506,0.005488260008224935,0.02254901960784314,4.9,0,-0.0003625475695496279,-0.003554386643009403,0.0026854280743501746,0.8325837081459271,False,3,3,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,active_macro_f1,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,17,40,23,23,17,0.575,0.038873102635881326,0.09313725490196079,0.018093421744889072,0.07254901960784313,4.9,0,-0.0018135877266898207,-0.009997649687478216,0.005859992301879979,0.6696651674162919,False,2,3,0.025,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,39,40,1,1,39,0.025,0.009021336390157318,0.02189054726368159,0.002994622159366854,0.011764705882352941,4.9,0,-0.004875691861868009,-0.007914865847894088,-0.001537734634800896,0.004997501249375313,True,1,3,0.016666666666666666,True,True
hyser_subject_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,34,40,6,6,34,0.15,0.020640905346699788,0.048039215686274506,0.005488260008224935,0.02254901960784314,4.9,0,-0.005987355727122912,-0.011539036175365423,-0.00014049082841480245,0.06346826586706647,True,2,3,0.025,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,active_risk_coverage_auc,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,17,40,23,23,17,0.575,0.038873102635881326,0.09313725490196079,0.018093421744889072,0.07254901960784313,4.9,0,-0.003891835386307385,-0.016874580411761583,0.008663107262847337,0.5737131434282858,True,3,3,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,ece,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,39,40,1,1,39,0.025,0.009021336390157318,0.02189054726368159,0.002994622159366854,0.011764705882352941,4.9,0,0.04152990253208762,0.03620119561334693,0.04724356120607623,0.0004997501249375312,False,1,3,0.016666666666666666,True,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,ece,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,34,40,6,6,34,0.15,0.020640905346699788,0.048039215686274506,0.005488260008224935,0.02254901960784314,4.9,0,0.04208401643179753,0.03545110164065477,0.04852788762835658,0.0004997501249375312,False,2,3,0.025,True,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,ece,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,17,40,23,23,17,0.575,0.038873102635881326,0.09313725490196079,0.018093421744889072,0.07254901960784313,4.9,0,0.0372157630527054,0.026720985378072402,0.0471945948496309,0.0004997501249375312,False,3,3,0.05,True,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,mean_ali,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,39,40,1,1,39,0.025,0.009021336390157318,0.02189054726368159,0.002994622159366854,0.011764705882352941,4.9,0,-0.002927799092699149,-0.003321884151627072,-0.002553767013800302,0.0004997501249375312,True,1,3,0.016666666666666666,True,True
