split_family,comparison_family,metric,tau,policy_a,policy_b,policy_b_same_tau,unit_cols,n_units,n_units_total,n_units_missing_metric,n_extrapolated_units,n_supported_units,extrapolated_fraction,mean_abs_raw_intervention_rate_gap,max_abs_raw_intervention_rate_gap,mean_nearest_curve_budget_gap,max_nearest_curve_budget_gap,mean_curve_metric_point_count,n_singleton_curve_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
hyser_subject_logo,agency_vs_plain_conf_iso_budget,final_correct_rate,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,39,40,1,1,39,0.025,0.009021336390157318,0.02189054726368159,0.002994622159366854,0.011764705882352941,4.9,0,-0.003029362745436204,-0.006834913649710802,0.00039101176878550723,0.12043978010994502,False,1,3,0.016666666666666666,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,final_correct_rate,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,34,40,6,6,34,0.15,0.020640905346699788,0.048039215686274506,0.005488260008224935,0.02254901960784314,4.9,0,-0.004605864327520038,-0.010902239646640305,0.001958461603342197,0.2158920539730135,False,2,3,0.025,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,final_correct_rate,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,17,40,23,23,17,0.575,0.038873102635881326,0.09313725490196079,0.018093421744889072,0.07254901960784313,4.9,0,-0.0047408675876765465,-0.01679789012062496,0.00655289573253654,0.456271864067966,False,3,3,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,15,40,25,24,15,0.6,0.009021336390157318,0.02189054726368159,0.00909731344975465,0.04257425742574258,3.325,3,0.056074675324675326,-0.03519661796536796,0.15589718614718612,0.28535732133933034,False,3,3,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,25,40,15,15,25,0.375,0.020640905346699788,0.048039215686274506,0.00819877573309134,0.03529411764705882,3.325,3,-0.14813859254780307,-0.22606907899118422,-0.06767368724477282,0.0024987506246876563,True,1,3,0.016666666666666666,True,True
hyser_subject_logo,agency_vs_plain_conf_iso_budget,median_earliest_safe_s,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,15,40,25,25,15,0.625,0.038873102635881326,0.09313725490196079,0.018093421744889072,0.07254901960784313,3.325,3,-0.1331657848324515,-0.196691798941799,-0.0652742504409172,0.00399800099950025,True,2,3,0.025,True,True
hyser_subject_logo,agency_vs_plain_conf_iso_budget,median_earliest_stable_safe_s,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,11,40,29,26,11,0.65,0.009021336390157318,0.02189054726368159,0.010920849148425052,0.04257425742574258,3.1,2,0.05659090909090909,-0.036363636363636355,0.1565965909090909,0.3618190904547726,False,1,3,0.016666666666666666,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,median_earliest_stable_safe_s,0.05,agency_margin_tau_0.05,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session|day,22,40,18,16,22,0.4,0.020640905346699788,0.048039215686274506,0.009250725325152795,0.03529411764705882,3.1,2,0.01399011275805533,-0.05845232010812152,0.08621637831865096,0.7251374312843578,False,2,3,0.025,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,median_earliest_stable_safe_s,0.10,agency_margin_tau_0.10,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session|day,15,40,25,23,15,0.575,0.038873102635881326,0.09313725490196079,0.017467870883727078,0.07254901960784313,3.1,2,-0.0071869488536155345,-0.10190476190476189,0.07646494708994706,0.8915542228885557,True,3,3,0.05,False,False
hyser_subject_logo,agency_vs_plain_conf_iso_budget,safe_episode_rate,0.02,agency_margin_tau_0.02,plain_conf_threshold_iso_budget_curve,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session|day,39,40,1,1,39,0.025,0.009021336390157318,0.02189054726368159,0.002994622159366854,0.011764705882352941,4.9,0,0.010933177381134397,0.007354499472659655,0.01462661386733083,0.0004997501249375312,True,1,3,0.016666666666666666,True,True
