dataset_id,split_family,comparison_family,tau,policy_a,policy_b_same_tau,policy_b,split_id,subject_id,session,day,selected_threshold,target_intervention_rate,selected_intervention_rate,intervention_rate_gap,exact_budget_match,candidate_threshold_count,trace_count,disagreement_trace_count,max_attainable_intervention_rate
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject01,subject01,session1,session1,0.6811973525102599,0.01485148514851485,0.01485148514851485,0.0,True,203,1010,700,0.693069306930693
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject01,subject01,session2,session2,0.7286999294712729,0.012182741116751269,0.01116751269035533,0.0010152284263959394,False,203,985,544,0.5522842639593909
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject02,subject02,session1,session1,0.6613403859160171,0.019704433497536946,0.0187192118226601,0.0009852216748768468,False,203,1015,764,0.7527093596059113
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject02,subject02,session2,session2,0.8273620758915573,0.011881188118811881,0.01287128712871287,0.0009900990099009892,False,203,1010,726,0.7188118811881188
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject03,subject03,session1,session1,0.5334396813801798,0.00816326530612245,0.00816326530612245,0.0,True,203,980,812,0.8285714285714286
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject03,subject03,session2,session2,0.6263062129582206,0.005076142131979695,0.0040609137055837565,0.0010152284263959385,False,203,985,729,0.7401015228426396
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject04,subject04,session1,session1,0.7286999294712729,0.007920792079207921,0.00891089108910891,0.0009900990099009892,False,203,1010,608,0.601980198019802
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject04,subject04,session2,session2,0.6613403859160171,0.011764705882352941,0.011764705882352941,0.0,True,203,1020,598,0.5862745098039216
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject05,subject05,session1,session1,0.561615777095356,0.008205128205128205,0.0071794871794871795,0.0010256410256410256,False,203,975,676,0.6933333333333334
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject05,subject05,session2,session2,0.643417714912693,0.013725490196078431,0.012745098039215686,0.000980392156862745,False,203,1020,804,0.788235294117647
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject06,subject06,session1,session1,0.6613403859160171,0.004901960784313725,0.004901960784313725,0.0,True,203,1020,651,0.638235294117647
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject06,subject06,session2,session2,0.6811973525102599,0.004975124378109453,0.003980099502487562,0.0009950248756218907,False,203,1005,713,0.709452736318408
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject07,subject07,session1,session1,0.6263062129582206,0.013725490196078431,0.012745098039215686,0.000980392156862745,False,203,1020,659,0.6460784313725491
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject07,subject07,session2,session2,0.7031359251728128,0.004901960784313725,0.0058823529411764705,0.000980392156862745,False,203,1020,647,0.634313725490196
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject08,subject08,session1,session1,0.7031359251728128,0.004901960784313725,0.004901960784313725,0.0,True,203,1020,874,0.8568627450980392
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject08,subject08,session2,session2,0.7031359251728128,0.012807881773399015,0.012807881773399015,0.0,True,203,1015,618,0.6088669950738916
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject09,subject09,session1,session1,0.7557601434764666,0.016666666666666666,0.01568627450980392,0.000980392156862745,False,203,1020,568,0.5568627450980392
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject09,subject09,session2,session2,0.8273620758915573,0.01568627450980392,0.012745098039215686,0.0029411764705882353,False,203,1020,717,0.7029411764705882
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject10,subject10,session1,session1,0.643417714912693,0.003940886699507389,0.003940886699507389,0.0,True,203,1015,590,0.5812807881773399
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject10,subject10,session2,session2,0.5848054470689596,0.008,0.008,0.0,True,203,1000,644,0.644
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject11,subject11,session1,session1,0.6811973525102599,0.011282051282051283,0.012307692307692308,0.0010256410256410248,False,203,975,662,0.678974358974359
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject11,subject11,session2,session2,0.542891227342386,0.011822660098522168,0.009852216748768473,0.0019704433497536953,False,203,1015,710,0.6995073891625616
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject12,subject12,session1,session1,0.7855960735762261,0.0049504950495049506,0.0049504950495049506,0.0,True,203,1010,765,0.7574257425742574
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject12,subject12,session2,session2,0.5734457667560073,0.011822660098522168,0.012807881773399015,0.0009852216748768468,False,203,1015,760,0.7487684729064039
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject13,subject13,session1,session1,0.7286999294712729,0.015920398009950248,0.014925373134328358,0.0009950248756218898,False,203,1005,669,0.6656716417910448
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject13,subject13,session2,session2,0.6112938168834663,0.018627450980392157,0.018627450980392157,0.0,True,203,1020,628,0.615686274509804
hyser,hyser_subject_logo,agency_vs_plain_conf_exact_budget,0.02,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,plain_conf_threshold_exact_budget_tau_0.02,hyser_subject_logo|subject14,subject14,session1,session1,0.6811973525102599,0.007920792079207921,0.007920792079207921,0.0,True,203,1010,763,0.7554455445544555
