dataset_id,split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,holm_reject_0_05,p_value_rank
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.0009045246096294028,0.0002453159331150555,0.0015761666749028805,0.0074962518740629685,True,8
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,0.002003622716320782,0.0010735192252085157,0.0029467056589151577,0.0004997501249375312,True,4
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.001679565334468496,0.0008074645369934767,0.002601940833806189,0.0009995002498750624,True,6
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,0.0026219231373197493,0.0011817603665277522,0.0039898280622329635,0.0004997501249375312,True,3
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.0018863082030562812,0.001086212485893014,0.0027248534463921005,0.0004997501249375312,True,2
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,0.002483863068256702,0.0011932997949143773,0.003882221906758632,0.0009995002498750624,True,5
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0012389079149754047,0.0006422159142384506,0.0018648546769478456,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session|day,130,0.0016177566341894832,0.0006969494148054891,0.0025626694028223038,0.001999000499750125,True,7
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.00044692720850435496,-1.3442889303637875e-05,0.0009354932620390913,0.08245877061469266,False,10
cemhsey,cemhsey_forward_day_logo,matched_tau,active_macro_f1,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session|day,130,0.0006169744953572812,6.776225849773997e-05,0.0012491506716872866,0.037481259370314844,False,9
cemhsey,cemhsey_forward_day_logo,matched_tau,active_risk_coverage_auc,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.00024830458877455203,-0.00042506625998682453,-7.238727138516235e-05,0.008995502248875561,False,4
cemhsey,cemhsey_forward_day_logo,matched_tau,active_risk_coverage_auc,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session|day,130,-0.0009023732418114981,-0.001810783999759315,8.710936875792785e-05,0.05347326336831584,False,5
cemhsey,cemhsey_forward_day_logo,matched_tau,active_risk_coverage_auc,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.00026580725451537027,-0.0004261473899665743,-9.641066822170936e-05,0.0029985007496251873,True,3
cemhsey,cemhsey_forward_day_logo,matched_tau,active_risk_coverage_auc,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session|day,130,-0.0004321947281019146,-0.0012816064046140424,0.000453559227867682,0.39580209895052476,False,6
cemhsey,cemhsey_forward_day_logo,matched_tau,active_risk_coverage_auc,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.00019520855247799062,-0.0002917004519621076,-0.00010021863887959633,0.0004997501249375312,True,1
cemhsey,cemhsey_forward_day_logo,matched_tau,active_risk_coverage_auc,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session|day,130,-0.00013763577980197578,-0.0009433340891779902,0.0007438459278677927,0.7451274362818591,False,8
