file,width_in,height_in,dpi,created_at,source_dir
pdf/fig1_benchmark_flow.pdf,7.16,3.55,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/fig1_benchmark_flow.png,7.16,3.55,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/fig2_db10_frontier.pdf,7.16,5.05,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/fig2_db10_frontier.png,7.16,5.05,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/fig3_setacsa_pairwise.pdf,7.16,3.85,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/fig3_setacsa_pairwise.png,7.16,3.85,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/fig4_exact_budget_audit.pdf,7.16,5.1,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/fig4_exact_budget_audit.png,7.16,5.1,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/fig5_external_robustness.pdf,7.16,5.05,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/fig5_external_robustness.png,7.16,5.05,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/fig6_db10_earliest_safe.pdf,7.16,5,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/fig6_db10_earliest_safe.png,7.16,5,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/figS_db10_matched_budget_ablation.pdf,7.16,4.95,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/figS_db10_matched_budget_ablation.png,7.16,4.95,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/figS_hyser_matched_budget_ablation.pdf,7.16,4.65,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/figS_hyser_matched_budget_ablation.png,7.16,4.65,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/figS_cemhsey_matched_budget_ablation.pdf,7.16,4.65,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/figS_cemhsey_matched_budget_ablation.png,7.16,4.65,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/figS_hyser_earliest_safe.pdf,7.16,5,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/figS_hyser_earliest_safe.png,7.16,5,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
pdf/figS_cemhsey_earliest_safe.pdf,7.16,5,NA,2026-05-05 22:51:57 MDT,results/reports/publication_clean
png/figS_cemhsey_earliest_safe.png,7.16,5,600,2026-05-05 22:51:57 MDT,results/reports/publication_clean
